"filename", "language", "JavaScript", "JSON with Comments", "Svelte", "TypeScript", "CSS", "HTML", "Markdown", "JSON", "Docker", "Prisma", "YAML", "comment", "blank", "total"
"c:\Users\justi\Desktop\toyo\toyo\src\routes\(site)\faq\+page.svelte", "Svelte", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\justi\Desktop\toyo\toyo\src\routes\(site)\guides\+layout.svelte", "Svelte", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\justi\Desktop\toyo\toyo\src\routes\(site)\guides\+page.svelte", "Svelte", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\+layout.svelte", "Svelte", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\special\+page.svelte", "Svelte", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\justi\Desktop\toyo\toyo\src\routes\+layout.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\justi\Desktop\toyo\toyo\svelte.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 16
"c:\Users\justi\Desktop\toyo\toyo\tailwind.config.cjs", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 21
"c:\Users\justi\Desktop\toyo\toyo\tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 21
"c:\Users\justi\Desktop\toyo\toyo\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"Total", "-", 72, 14, 2519, 1009, 15, 11, 24, 7422, 15, 53, 0, 29, 554, 11737
